 Protocol, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
6,65871,3,7,400,11595.0,400,0,133.3333333,230.9401077,4344,0,1656.428571,1757.579003,182098.3437,151.8118747,7319.0,18298.10267,55342.0,49.0,9993.0,4996.5,6996.8216,9944.0,49.0,65819.0,10969.83333,22093.94081,55342.0,49.0,0,0,0,0,104,232,45.54356242,106.2683123,0,4344,1090.454545,1575.461543,2482079.073,0,0,0,1,0,0,0,0,2,1199.5,133.3333333,1656.428571,104,0,0,0,0,0,0,3,400,7,11595,29200,235,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk
6,99445838,5,7,361,11595.0,349,0,72.2,154.7649831,4344,0,1656.428571,1760.597234,120.2262482,0.1206687,9040530.727,29900000.0,99300000.0,4.0,99300000.0,24800000.0,49600000.0,99300000.0,4.0,99400000.0,16600000.0,40500000.0,99300000.0,14.0,0,0,0,0,144,232,0.050278625,0.070390075,0,4344,920.1538462,1497.763157,2243294.474,1,0,0,0,0,0,0,0,1,996.8333333,72.2,1656.428571,144,0,0,0,0,0,0,5,361,7,11595,0,235,2,20,18030.0,0.0,18030.0,18030.0,99300000.0,0.0,99300000.0,99300000.0,DoS Hulk
6,99200515,7,6,1128,11595.0,374,0,161.1428571,199.1209252,5792,0,1932.5,2181.008184,128.2553825,0.131047707,8266709.583,28200000.0,97700000.0,17.0,99200000.0,16500000.0,39800000.0,97700000.0,14001.0,475354.0,95070.8,208519.6332,468043.0,17.0,0,0,0,0,228,200,0.07056415,0.060483557,0,5792,909.2142857,1641.707187,2695202.489,1,0,0,0,0,0,0,0,0,979.1538462,161.1428571,1932.5,228,0,0,0,0,0,0,7,1128,6,11595,0,235,3,20,0.0,0.0,0.0,0.0,97700000.0,0.0,97700000.0,97700000.0,DoS Hulk
6,84899248,7,6,341,11595.0,341,0,48.71428571,128.8858853,4344,0,1932.5,1977.812908,140.5901734,0.153122675,7074937.333,24500000.0,84800000.0,1.0,84800000.0,14100000.0,34600000.0,84800000.0,1.0,147601.0,29520.2,58224.66499,133118.0,54.0,0,0,0,0,232,200,0.082450671,0.070672004,0,4344,852.5714286,1566.624137,2454311.187,0,0,0,0,1,0,0,0,0,918.1538462,48.71428571,1932.5,232,0,0,0,0,0,0,7,341,6,11595,251,235,1,32,1005.0,0.0,1005.0,1005.0,84800000.0,0.0,84800000.0,84800000.0,DoS Hulk
6,99085441,7,7,366,11595.0,360,0,52.28571429,135.707669,4344,0,1656.428571,1757.579003,120.7140008,0.141292201,7621957.0,27400000.0,98900000.0,1.0,98900000.0,16500000.0,40400000.0,98900000.0,1.0,153192.0,25532.0,56200.22431,139768.0,13.0,0,0,0,0,220,232,0.0706461,0.0706461,0,4344,797.4,1422.591388,2023766.257,0,0,0,0,1,0,0,0,1,854.3571429,52.28571429,1656.428571,220,0,0,0,0,0,0,7,366,7,11595,251,235,2,20,5.0,0.0,5.0,5.0,98900000.0,0.0,98900000.0,98900000.0,DoS Hulk
6,98490144,9,6,366,11595.0,360,0,40.66666667,119.7664394,5792,0,1932.5,2179.547086,121.4436238,0.152299503,7035010.286,26300000.0,98400000.0,1.0,98400000.0,12300000.0,34800000.0,98400000.0,1.0,62884.0,12576.8,21855.96212,50575.0,53.0,0,0,0,0,284,200,0.091379702,0.060919801,0,5792,747.5625,1577.920698,2489833.729,0,0,0,0,1,0,0,0,0,797.4,40.66666667,1932.5,284,0,0,0,0,0,0,9,366,6,11595,251,235,2,20,1991.0,0.0,1991.0,1991.0,98400000.0,0.0,98400000.0,98400000.0,DoS Hulk
6,6012757,3,2,18,11.0,6,6,6.0,0.0,11,0,5.5,7.778174593,4.823078664,0.831565287,1503189.25,3005298.593,6011137.0,1.0,1620.0,810.0,1144.098772,1619.0,1.0,6012737.0,6012737.0,0.0,6012737.0,6012737.0,0,0,0,0,60,64,0.498939172,0.332626115,0,11,5.833333333,3.488074923,12.16666667,1,0,0,0,0,0,0,0,0,7.0,6.0,5.5,60,0,0,0,0,0,0,3,18,2,11,0,235,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk
6,3,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk
6,3,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,274,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk
6,1,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,2000000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,274,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk
