ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	version	user_agent	origin	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	tags	username	password	proxied	orig_fuids	orig_filenames	orig_mime_types	resp_fuids	resp_filenames	resp_mime_types
1499348434.074439	Cb6hBkJAIIVp7OTfg	192.168.10.14	61496	31.186.87.67	80	1	GET	pixel.onaudience.com	/?partner=105&mapped=CAESEHwqsa9L1qcNTRIAwhNr-Yc&google_cver=1	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	-	0	0	302	Found	-	-	(empty)	-	-	-	-	-	-	-	-	-
1499348434.074612	C2Vu7B39Az6wdqtEvd	192.168.10.14	61501	31.186.87.67	80	1	GET	pixel.onaudience.com	/?partner=95&mapped=7575247178870625294	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	-	0	0	302	Found	-	-	(empty)	-	-	-	-	-	-	-	-	-
1499348434.079503	CZq2aS2yOSjVJIvOI6	192.168.10.14	61502	31.186.87.219	80	1	GET	x.onaudience.com	/static/background.js	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	-	0	11808	200	OK	-	-	(empty)	-	-	-	-	-	-	FH9imc2crJzHHI0R5f	-	application/javascript
1499348434.088874	CLKE6B45O4xENEkZKd	192.168.10.14	61505	46.229.145.48	80	1	GET	tvn.adocean.pl	/ad.js?id=0lKbryeISH41sEgaTkHNywuwchejgH6ZszZtO6bsRdL.D7/aocodetype=1/	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	-	0	0	301	Moved Permanently	-	-	(empty)	-	-	-	-	-	-	-	-	-
1499348434.105167	CvZ5x2M2eIRX3WIa	192.168.10.14	61507	85.194.240.107	80	1	GET	unblock.onaudience.com	/static/worker.js	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	http://www.wiocha.pl	0	20729	200	OK	-	-	(empty)	-	-	-	-	-	-	Fq1pek6XtYYq5yxil	-	application/javascript
1499348434.144966	CaoOUf4sCNeA1bj735	192.168.10.14	61509	91.185.184.7	80	1	GET	api.behavioralengine.com	/gather?partner=adform&type=mapid&pid=840601900653107744	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	-	0	43	200	OK	-	-	(empty)	-	-	-	-	-	-	FZ7BEa4jFZfqdIjUAl	-	image/gif
1499348434.203967	CCtSEPkpa2nJQFzE4	192.168.10.14	61460	129.146.13.97	80	2	GET	tags.bluekai.com	/site/33141?&id=0d9462cc11c7d4d8	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	-	0	62	200	OK	-	-	(empty)	-	-	-	-	-	-	FiJlYY1UTZHCJozuA7	-	image/gif
1499348434.292582	CH72Tj3RCn4jjhPWWc	192.168.10.14	61512	54.227.204.207	80	1	GET	ps.eyeota.net	/pixel?pid=i0r4s2v&t=gif&uid=7801fd4564ac6d51	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	-	0	0	302	Found	-	-	(empty)	-	-	-	-	-	-	-	-	-
1499348434.306958	CVV7K44uaODqWKVS1e	192.168.10.14	61520	52.86.68.249	80	1	GET	dpm.demdex.net	/ibs:dpid=148286&dpuuid=a17bf7066eb7f2ff	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	-	0	42	200	OK	-	-	(empty)	-	-	-	-	-	-	FUQLAv2IfA8P3eqAo	-	image/gif
1499348434.237023	CLKE6B45O4xENEkZKd	192.168.10.14	61505	46.229.145.48	80	2	GET	tvn.adocean.pl	/__/ad.js?id=0lKbryeISH41sEgaTkHNywuwchejgH6ZszZtO6bsRdL.D7/aocodetype=1/	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	-	0	3	200	OK	-	-	(empty)	-	-	-	-	-	-	Fquds02xMIXqaedfGh	-	-
1499348434.407790	Ccxs8EI38LASVkcv2	192.168.10.14	61503	68.67.178.132	80	1	-	-	-	-	1.1	-	-	0	0	302	Found	-	-	(empty)	-	-	-	-	-	-	-	-	-
1499348434.342767	CSnzfi3xaVwGx5veLa	192.168.10.14	61517	87.98.242.60	80	1	GET	green.erne.co	/tags?id=cm_ct_15cc90989e094e06&ncm=1&type=script&img=1	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	-	0	35	200	OK	-	-	(empty)	-	-	-	-	-	-	FqZ2FeVmLiI2AKsGi	-	image/gif
1499348434.343168	CXQHzYqeOFhHblKkd	192.168.10.14	61513	87.98.242.60	80	1	GET	green.erne.co	/tags?id=cm_ct_f13470aedecea6d3&ncm=1&type=script&img=1	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	-	0	35	200	OK	-	-	(empty)	-	-	-	-	-	-	FeUEC62zDMOddhpG5e	-	image/gif
1499348434.343275	Cj0Hz144qhwoXtrZh2	192.168.10.14	61514	87.98.242.60	80	1	GET	green.erne.co	/tags?id=cm_ct_69961a243012e2bc&ncm=1&type=script&img=1	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	-	0	35	200	OK	-	-	(empty)	-	-	-	-	-	-	FBUWCQ3re1mrQyXOl1	-	image/gif
1499348434.412160	CLZI0iDjwRlhWXOw5	192.168.10.14	61511	54.227.204.207	80	1	GET	ps.eyeota.net	/match?uid=7575247178870625294&bid=2cr76e1	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	-	0	70	200	OK	-	-	(empty)	-	-	-	-	-	-	FsRpq03CsShpqwaRg8	-	image/gif
1499348434.355769	CJCHUQ3Rjw9anFzrg	192.168.10.14	61510	31.186.87.67	80	1	GET	pixel.onaudience.com	/?partner=104&mapped=d9f126ae78b79801d52302363c3eaeb2	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	-	0	0	302	Found	-	-	(empty)	-	-	-	-	-	-	-	-	-
1499348434.496898	Ca3srq4EgJ0Aa6PYR2	192.168.10.14	61452	95.154.251.155	80	1	-	-	-	-	1.0	-	-	0	90	400	Bad request	-	-	(empty)	-	-	-	-	-	-	F8IwRJ3RboHlNfNW6g	-	text/html
1499348434.390362	CPsCS24VRKqjjW7f4	192.168.10.14	61521	85.194.240.107	8080	1	GET	unblock.onaudience.com:8080	/cookie	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	http://www.wiocha.pl	0	29	200	OK	-	-	(empty)	-	-	-	-	-	-	F69xxl2f0WacylyhQg	-	text/json
1499348434.485158	CSnzfi3xaVwGx5veLa	192.168.10.14	61517	87.98.242.60	80	2	GET	green.erne.co	/tags?id=cm_ct_00ec7d5899604461&ncm=1&type=script&img=1	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	-	0	35	200	OK	-	-	(empty)	-	-	-	-	-	-	FYxQv22hDri9KaKFBd	-	image/gif
1499348434.556692	CB7FBcVNlVtV8hxhg	192.168.10.14	61523	172.217.11.6	80	1	GET	s0.2mdn.net	/	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	http://www.wiocha.pl	0	43	404	Not Found	-	-	(empty)	-	-	-	-	-	-	FKBOxA1i2bCjOyF9Bf	-	image/gif
1499348434.740550	CRL8jDrQpDn1kKWvk	192.168.10.14	61525	85.194.240.107	8081	1	POST	unblock.onaudience.com:8081	/log	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	http://www.wiocha.pl	54	0	200	OK	-	-	(empty)	-	-	-	FXGL5p4iHdrx9kvfUd	-	text/json	-	-	-
1499348435.385307	CTmHZh4U3m1YbBc3nk	192.168.10.14	61527	31.186.87.219	8080	1	POST	x.onaudience.com:8080	/log	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	http://www.wiocha.pl	216	0	200	OK	-	-	(empty)	-	-	-	FRwp7p311JhWdStEQf	-	text/json	-	-	-
1499348430.848449	Cpz87G21WuO29VRqc4	192.168.10.14	61492	93.179.237.135	80	1	GET	tags.dtxngr.com	/v1/load.dtx?t=1499348426086&mt_pid=6011	http://www.wiocha.pl/subpages/info/exframer.php	-	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	-	0	0	-	-	-	-	(empty)	-	-	-	-	-	-	-	-	-
1499348437.184865	CIeCnn3oIVrnFauA5a	192.168.10.14	61320	13.107.4.50	80	3	GET	au.download.windowsupdate.com	/c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe	-	1.1	Microsoft BITS/7.8	-	0	10228	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	-	-	-
1499348432.783104	CVi9xq4Hwg8KijT5F6	192.168.10.14	61490	91.185.184.7	80	1	GET	api.behavioralengine.com	/getCookie/?cookie=null&p=adexon&domain=http://www.wiocha.pl&v=3.0	http://www.wiocha.pl/subpages/info/exframer.php	-	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	-	0	0	-	-	-	-	(empty)	-	-	-	-	-	-	-	-	-
1499348439.233002	CIeCnn3oIVrnFauA5a	192.168.10.14	61320	13.107.4.50	80	4	GET	au.download.windowsupdate.com	/c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe	-	1.1	Microsoft BITS/7.8	-	0	10283	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	-	-	-
1499348440.257809	CIeCnn3oIVrnFauA5a	192.168.10.14	61320	13.107.4.50	80	5	GET	au.download.windowsupdate.com	/c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe	-	1.1	Microsoft BITS/7.8	-	0	10288	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	-	-	-
1499348441.282089	CIeCnn3oIVrnFauA5a	192.168.10.14	61320	13.107.4.50	80	6	GET	au.download.windowsupdate.com	/c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe	-	1.1	Microsoft BITS/7.8	-	0	22088	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	-	-	-
1499348442.306074	CIeCnn3oIVrnFauA5a	192.168.10.14	61320	13.107.4.50	80	7	GET	au.download.windowsupdate.com	/c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe	-	1.1	Microsoft BITS/7.8	-	0	45676	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	-	-	-
1499348443.330020	CIeCnn3oIVrnFauA5a	192.168.10.14	61320	13.107.4.50	80	8	GET	au.download.windowsupdate.com	/c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe	-	1.1	Microsoft BITS/7.8	-	0	92787	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	-	-	-
1499348433.465558	Cw69FY1i5QIAFXFsr1	172.16.0.1	36202	192.168.10.50	80	1	GET	205.174.165.68	/dv/vulnerabilities/sqli/?id=1'+and+1=1+union+select+null,+table_name+from+information_schema.tables#&Submit=Submit	http://205.174.165.68/dv/vulnerabilities/sqli/?id=1%27+and+1%3D1+union+select+database%28%29%2C+user%28%29%23&Submit=Submit	-	Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0	-	0	0	-	-	-	-	(empty)	-	-	-	-	-	-	-	-	-
1499348444.355023	CIeCnn3oIVrnFauA5a	192.168.10.14	61320	13.107.4.50	80	9	GET	au.download.windowsupdate.com	/c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe	-	1.1	Microsoft BITS/7.8	-	0	35246	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	-	-	-
