record1: [id.orig_h: 192.168.10.14, id.resp_h: 172.217.6.194, uri: /pagead/gen_204?id=sodar&v=14&t=2&bgai=B5c7gzD1eWe7kM5PAngSLzo7YCgAAAAA4AeAEAg&bg=!OjmlOSFETDO-gSRelcICAAAC2lIAAAJ7CgAwPLIOa77semjNXoThKXNgyTWGpDuBLxqTeO48uWTmJQnDVi3zSYkKmCMciQuAfzNtmQD5xKlCYy6gxQNELbT-7Yr0UwSYoHomJ0DCDMyOc6hT4uAukppIljP8vflNhD7vpAQ7dxzrEtZfvD1a3-HNfJXu53F6cF_rnuL9vfmVdo0uDMT2ykujI8l--Sq70q92h7N1Fj6WUcg0_sA9Lt-RAb4mxJgrZPCMhi0a9cgHK5ipAdOXPzZBJqhzM9MkMQc3BMLyMIGTzrKkz6XzGTBrORXOxbsNzXU8hH5kopyBnQ6C93lto0JpHez8OhgJXUbLGkTOkNeoYHQ-p6BkVtatxYBrjI-JboRsyC5gHr5bOtE_oapO8J4exO_LqArQ1qE5xuRQ0NO_p2y7Fvny, referrer: http://tpc.googlesyndication.com/sodar/9im3l02I.html];
record12: [id.orig_h: 192.168.10.14, id.resp_h: 31.186.87.67, uri: /?partner=109&smartmap=1&redirect=tags.bluekai.com/site/33141?&id=%m, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record13: [id.orig_h: 192.168.10.14, id.resp_h: 31.186.87.67, uri: /?partner=130&smartmap=1&redirect=dpm.demdex.net/ibs:dpid=148286&dpuuid=%m\x0a , referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record14: [id.orig_h: 192.168.10.14, id.resp_h: 31.186.87.67, uri: /?partner=108&smartmap=1&redirect=ps.eyeota.net/pixel?pid=i0r4s2v&t=gif&uid=%m, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record15: [id.orig_h: 192.168.10.14, id.resp_h: 31.186.87.67, uri: /?partner=112&mapped=0000005175717812, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record16: [id.orig_h: 192.168.10.14, id.resp_h: 31.186.87.67, uri: /?partner=105&mapped=CAESEHwqsa9L1qcNTRIAwhNr-Yc&google_cver=1, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record17: [id.orig_h: 192.168.10.14, id.resp_h: 31.186.87.67, uri: /?partner=95&mapped=7575247178870625294, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record18: [id.orig_h: 192.168.10.14, id.resp_h: 31.186.87.219, uri: /static/background.js, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record19: [id.orig_h: 192.168.10.14, id.resp_h: 46.229.145.48, uri: /ad.js?id=0lKbryeISH41sEgaTkHNywuwchejgH6ZszZtO6bsRdL.D7/aocodetype=1/, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record20: [id.orig_h: 192.168.10.14, id.resp_h: 85.194.240.107, uri: /static/worker.js, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record21: [id.orig_h: 192.168.10.14, id.resp_h: 91.185.184.7, uri: /gather?partner=adform&type=mapid&pid=840601900653107744, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record22: [id.orig_h: 192.168.10.14, id.resp_h: 129.146.13.97, uri: /site/33141?&id=0d9462cc11c7d4d8, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record23: [id.orig_h: 192.168.10.14, id.resp_h: 54.227.204.207, uri: /pixel?pid=i0r4s2v&t=gif&uid=7801fd4564ac6d51, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record24: [id.orig_h: 192.168.10.14, id.resp_h: 52.86.68.249, uri: /ibs:dpid=148286&dpuuid=a17bf7066eb7f2ff, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record25: [id.orig_h: 192.168.10.14, id.resp_h: 46.229.145.48, uri: /__/ad.js?id=0lKbryeISH41sEgaTkHNywuwchejgH6ZszZtO6bsRdL.D7/aocodetype=1/, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record26: [id.orig_h: 192.168.10.14, id.resp_h: 68.67.178.132, uri: -, referrer: -];
record27: [id.orig_h: 192.168.10.14, id.resp_h: 87.98.242.60, uri: /tags?id=cm_ct_15cc90989e094e06&ncm=1&type=script&img=1, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record28: [id.orig_h: 192.168.10.14, id.resp_h: 87.98.242.60, uri: /tags?id=cm_ct_f13470aedecea6d3&ncm=1&type=script&img=1, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record29: [id.orig_h: 192.168.10.14, id.resp_h: 87.98.242.60, uri: /tags?id=cm_ct_69961a243012e2bc&ncm=1&type=script&img=1, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record30: [id.orig_h: 192.168.10.14, id.resp_h: 54.227.204.207, uri: /match?uid=7575247178870625294&bid=2cr76e1, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record31: [id.orig_h: 192.168.10.14, id.resp_h: 31.186.87.67, uri: /?partner=104&mapped=d9f126ae78b79801d52302363c3eaeb2, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record32: [id.orig_h: 192.168.10.14, id.resp_h: 95.154.251.155, uri: -, referrer: -];
record33: [id.orig_h: 192.168.10.14, id.resp_h: 85.194.240.107, uri: /cookie, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record34: [id.orig_h: 192.168.10.14, id.resp_h: 87.98.242.60, uri: /tags?id=cm_ct_00ec7d5899604461&ncm=1&type=script&img=1, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record35: [id.orig_h: 192.168.10.14, id.resp_h: 172.217.11.6, uri: /, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record36: [id.orig_h: 192.168.10.14, id.resp_h: 85.194.240.107, uri: /log, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record37: [id.orig_h: 192.168.10.14, id.resp_h: 31.186.87.219, uri: /log, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record38: [id.orig_h: 192.168.10.14, id.resp_h: 93.179.237.135, uri: /v1/load.dtx?t=1499348426086&mt_pid=6011, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record39: [id.orig_h: 192.168.10.14, id.resp_h: 13.107.4.50, uri: /c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe, referrer: -];
record40: [id.orig_h: 192.168.10.14, id.resp_h: 91.185.184.7, uri: /getCookie/?cookie=null&p=adexon&domain=http://www.wiocha.pl&v=3.0, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record41: [id.orig_h: 192.168.10.14, id.resp_h: 13.107.4.50, uri: /c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe, referrer: -];
record42: [id.orig_h: 192.168.10.14, id.resp_h: 13.107.4.50, uri: /c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe, referrer: -];
record43: [id.orig_h: 192.168.10.14, id.resp_h: 13.107.4.50, uri: /c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe, referrer: -];
record44: [id.orig_h: 192.168.10.14, id.resp_h: 13.107.4.50, uri: /c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe, referrer: -];
record45: [id.orig_h: 192.168.10.14, id.resp_h: 13.107.4.50, uri: /c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe, referrer: -];
record46: [id.orig_h: 172.16.0.1, id.resp_h: 192.168.10.50, uri: /dv/vulnerabilities/sqli/?id=1'+and+1=1+union+select+null,+table_name+from+information_schema.tables#&Submit=Submit, referrer: http://205.174.165.68/dv/vulnerabilities/sqli/?id=1%27+and+1%3D1+union+select+database%28%29%2C+user%28%29%23&Submit=Submit];
record47: [id.orig_h: 192.168.10.14, id.resp_h: 13.107.4.50, uri: /c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe, referrer: -];
