record1: [ts: 1499348430.883833, id.orig_h: 192.168.10.14, id.resp_h: 172.217.6.194, uri: /pagead/gen_204?id=sodar&v=14&t=2&bgai=B5c7gzD1eWe7kM5PAngSLzo7YCgAAAAA4AeAEAg&bg=!OjmlOSFETDO-gSRelcICAAAC2lIAAAJ7CgAwPLIOa77semjNXoThKXNgyTWGpDuBLxqTeO48uWTmJQnDVi3zSYkKmCMciQuAfzNtmQD5xKlCYy6gxQNELbT-7Yr0UwSYoHomJ0DCDMyOc6hT4uAukppIljP8vflNhD7vpAQ7dxzrEtZfvD1a3-HNfJXu53F6cF_rnuL9vfmVdo0uDMT2ykujI8l--Sq70q92h7N1Fj6WUcg0_sA9Lt-RAb4mxJgrZPCMhi0a9cgHK5ipAdOXPzZBJqhzM9MkMQc3BMLyMIGTzrKkz6XzGTBrORXOxbsNzXU8hH5kopyBnQ6C93lto0JpHez8OhgJXUbLGkTOkNeoYHQ-p6BkVtatxYBrjI-JboRsyC5gHr5bOtE_oapO8J4exO_LqArQ1qE5xuRQ0NO_p2y7Fvny, method: GET, trans_depth: 2, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record22: [ts: 1499348434.203967, id.orig_h: 192.168.10.14, id.resp_h: 129.146.13.97, uri: /site/33141?&id=0d9462cc11c7d4d8, method: GET, trans_depth: 2, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record23: [ts: 1499348434.292582, id.orig_h: 192.168.10.14, id.resp_h: 54.227.204.207, uri: /pixel?pid=i0r4s2v&t=gif&uid=7801fd4564ac6d51, method: GET, trans_depth: 1, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record24: [ts: 1499348434.306958, id.orig_h: 192.168.10.14, id.resp_h: 52.86.68.249, uri: /ibs:dpid=148286&dpuuid=a17bf7066eb7f2ff, method: GET, trans_depth: 1, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record25: [ts: 1499348434.237023, id.orig_h: 192.168.10.14, id.resp_h: 46.229.145.48, uri: /__/ad.js?id=0lKbryeISH41sEgaTkHNywuwchejgH6ZszZtO6bsRdL.D7/aocodetype=1/, method: GET, trans_depth: 2, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record26: [ts: 1499348434.407790, id.orig_h: 192.168.10.14, id.resp_h: 68.67.178.132, uri: -, method: -, trans_depth: 1, user_agent: -];
record27: [ts: 1499348434.342767, id.orig_h: 192.168.10.14, id.resp_h: 87.98.242.60, uri: /tags?id=cm_ct_15cc90989e094e06&ncm=1&type=script&img=1, method: GET, trans_depth: 1, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record28: [ts: 1499348434.343168, id.orig_h: 192.168.10.14, id.resp_h: 87.98.242.60, uri: /tags?id=cm_ct_f13470aedecea6d3&ncm=1&type=script&img=1, method: GET, trans_depth: 1, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record29: [ts: 1499348434.343275, id.orig_h: 192.168.10.14, id.resp_h: 87.98.242.60, uri: /tags?id=cm_ct_69961a243012e2bc&ncm=1&type=script&img=1, method: GET, trans_depth: 1, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record30: [ts: 1499348434.412160, id.orig_h: 192.168.10.14, id.resp_h: 54.227.204.207, uri: /match?uid=7575247178870625294&bid=2cr76e1, method: GET, trans_depth: 1, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record31: [ts: 1499348434.355769, id.orig_h: 192.168.10.14, id.resp_h: 31.186.87.67, uri: /?partner=104&mapped=d9f126ae78b79801d52302363c3eaeb2, method: GET, trans_depth: 1, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record32: [ts: 1499348434.496898, id.orig_h: 192.168.10.14, id.resp_h: 95.154.251.155, uri: -, method: -, trans_depth: 1, user_agent: -];
record33: [ts: 1499348434.390362, id.orig_h: 192.168.10.14, id.resp_h: 85.194.240.107, uri: /cookie, method: GET, trans_depth: 1, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record34: [ts: 1499348434.485158, id.orig_h: 192.168.10.14, id.resp_h: 87.98.242.60, uri: /tags?id=cm_ct_00ec7d5899604461&ncm=1&type=script&img=1, method: GET, trans_depth: 2, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record35: [ts: 1499348434.556692, id.orig_h: 192.168.10.14, id.resp_h: 172.217.11.6, uri: /, method: GET, trans_depth: 1, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record36: [ts: 1499348434.740550, id.orig_h: 192.168.10.14, id.resp_h: 85.194.240.107, uri: /log, method: POST, trans_depth: 1, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record37: [ts: 1499348435.385307, id.orig_h: 192.168.10.14, id.resp_h: 31.186.87.219, uri: /log, method: POST, trans_depth: 1, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record38: [ts: 1499348430.848449, id.orig_h: 192.168.10.14, id.resp_h: 93.179.237.135, uri: /v1/load.dtx?t=1499348426086&mt_pid=6011, method: GET, trans_depth: 1, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record39: [ts: 1499348437.184865, id.orig_h: 192.168.10.14, id.resp_h: 13.107.4.50, uri: /c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe, method: GET, trans_depth: 3, user_agent: Microsoft BITS/7.8];
record40: [ts: 1499348432.783104, id.orig_h: 192.168.10.14, id.resp_h: 91.185.184.7, uri: /getCookie/?cookie=null&p=adexon&domain=http://www.wiocha.pl&v=3.0, method: GET, trans_depth: 1, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record41: [ts: 1499348439.233002, id.orig_h: 192.168.10.14, id.resp_h: 13.107.4.50, uri: /c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe, method: GET, trans_depth: 4, user_agent: Microsoft BITS/7.8];
record42: [ts: 1499348440.257809, id.orig_h: 192.168.10.14, id.resp_h: 13.107.4.50, uri: /c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe, method: GET, trans_depth: 5, user_agent: Microsoft BITS/7.8];
record43: [ts: 1499348441.282089, id.orig_h: 192.168.10.14, id.resp_h: 13.107.4.50, uri: /c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe, method: GET, trans_depth: 6, user_agent: Microsoft BITS/7.8];
record44: [ts: 1499348442.306074, id.orig_h: 192.168.10.14, id.resp_h: 13.107.4.50, uri: /c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe, method: GET, trans_depth: 7, user_agent: Microsoft BITS/7.8];
record45: [ts: 1499348443.330020, id.orig_h: 192.168.10.14, id.resp_h: 13.107.4.50, uri: /c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe, method: GET, trans_depth: 8, user_agent: Microsoft BITS/7.8];
record46: [ts: 1499348433.465558, id.orig_h: 172.16.0.1, id.resp_h: 192.168.10.50, uri: /dv/vulnerabilities/sqli/?id=1'+and+1=1+union+select+null,+table_name+from+information_schema.tables#&Submit=Submit, method: GET, trans_depth: 1, user_agent: Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0];
record47: [ts: 1499348444.355023, id.orig_h: 192.168.10.14, id.resp_h: 13.107.4.50, uri: /c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe, method: GET, trans_depth: 9, user_agent: Microsoft BITS/7.8];
