ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
1499170760.152718	C5QdO82Gt4MoyW7aPg	172.16.0.1	52126	192.168.10.50	21	tcp	ftp	9.802997	110	188	SF	T	T	14	ShAdDaGfFr	11	690	17	1056	-
1499170760.152580	CG5n8R1Ojvv5dztfJ	172.16.0.1	52118	192.168.10.50	21	tcp	ftp	9.804459	107	188	SF	T	T	0	ShAdDafrF	11	687	17	1056	-
1499170760.153015	CVF6FM1d3BBP5ahpcg	172.16.0.1	52130	192.168.10.50	21	tcp	ftp	9.812030	108	188	SF	T	T	0	ShAdDafrF	11	688	17	1056	-
1499170783.780640	ClqxjGhYOrU4vH2y2	172.16.0.1	52152	192.168.10.50	21	tcp	ftp	9.216687	108	188	SF	T	T	0	ShAdDafrF	11	688	17	1056	-
1499170783.780762	CpoYWnJ901WqY2703	172.16.0.1	52154	192.168.10.50	21	tcp	ftp	9.220316	119	188	SF	T	T	0	ShAdDafrF	11	699	17	1056	-
1499170783.781061	C79CmI2wxAaDRsKqZa	172.16.0.1	52162	192.168.10.50	21	tcp	ftp	9.223812	110	188	SF	T	T	0	ShAdDafrF	11	690	17	1056	-
1499170783.781230	CInQ84113VY3VZTz8	172.16.0.1	52170	192.168.10.50	21	tcp	ftp	9.243991	114	188	SF	T	T	0	ShAdDafrF	11	694	17	1056	-
1499170783.781092	CVc4pA2EyAVr1Jtnn8	172.16.0.1	52164	192.168.10.50	21	tcp	ftp	9.250282	111	188	SF	T	T	28	ShAdaGDfFr	11	691	17	1056	-
1499170783.780968	CZ6xxU3Opex67Zj66k	172.16.0.1	52160	192.168.10.50	21	tcp	ftp	9.277469	107	188	SF	T	T	0	ShAdDafrF	11	687	17	1056	-
1499170783.781108	CqnnXm23LmFvswaJ7j	172.16.0.1	52166	192.168.10.50	21	tcp	ftp	9.295011	108	188	SF	T	T	0	ShAdDafFr	11	688	17	1056	-
1499170783.780986	Cpj7lY2qeWduPwYjda	172.16.0.1	52158	192.168.10.50	21	tcp	ftp	9.295151	115	188	SF	T	T	0	ShAdDafrFr	11	695	17	1056	-
1499170783.780811	CiBfyX5XoBFJqw4l7	172.16.0.1	52156	192.168.10.50	21	tcp	ftp	9.296558	119	188	SF	T	T	0	ShAdDafrF	11	699	17	1056	-
1499170783.781168	Cfijz74AJ59duzb43e	172.16.0.1	52168	192.168.10.50	21	tcp	ftp	9.296202	110	188	SF	T	T	0	ShAdDafrF	11	690	17	1056	-
1499170793.101452	CdQrgz392NYOEmKm69	172.16.0.1	52174	192.168.10.50	21	tcp	ftp	8.491482	110	188	SF	T	T	0	ShAdDafrF	11	690	17	1056	-
1499170793.097460	CitPCT2WvsjveE1l9	172.16.0.1	52172	192.168.10.50	21	tcp	ftp	8.499512	109	188	SF	T	T	0	ShAdDafrF	11	689	17	1056	-
1499170793.104932	Cqs7ja4M2UqEQRBtcd	172.16.0.1	52176	192.168.10.50	21	tcp	ftp	8.506912	110	188	SF	T	T	0	ShAdDafrF	11	690	17	1056	-
1499170793.176495	CLHewW3BxDxXNgFnxa	172.16.0.1	52186	192.168.10.50	21	tcp	ftp	10.209325	108	188	SF	T	T	0	ShAdDafrF	11	688	17	1056	-
1499170793.176645	Cfm9Ds2jtUYxCQl1Vf	172.16.0.1	52184	192.168.10.50	21	tcp	ftp	10.209640	113	188	RSTR	T	T	0	^hSAdDafrF	11	693	17	1056	-
1499170793.177552	CeinRu3Sddn1JzZGRe	172.16.0.1	52190	192.168.10.50	21	tcp	ftp	10.209071	109	188	SF	T	T	0	ShAdDafrF	11	689	17	1056	-
1499170793.177482	CZSwjvxnSKmsYtY7	172.16.0.1	52188	192.168.10.50	21	tcp	ftp	10.215630	107	188	SF	T	T	0	ShAdDafFr	11	687	17	1056	-
1499170793.131577	CBUZGr4wz65HkBKKOb	172.16.0.1	52180	192.168.10.50	21	tcp	ftp	10.264536	112	188	SF	T	T	0	ShAdDafFr	11	692	17	1056	-
1499170793.125311	CJdqeIS694L2AhEpf	172.16.0.1	52178	192.168.10.50	21	tcp	ftp	10.275770	111	188	SF	T	T	0	ShAdDafrF	11	691	17	1056	-
1499170793.158444	CLTuvS33BNUAfjjHOk	172.16.0.1	52182	192.168.10.50	21	tcp	ftp	10.253810	109	188	SF	T	T	0	ShAdDafFr	11	689	17	1056	-
1499170801.697075	CjPJin387tV926X3w7	172.16.0.1	52194	192.168.10.50	21	tcp	ftp	9.195284	114	188	SF	T	T	0	ShAdDafrF	11	694	17	1056	-
1499170801.693211	CYWqcE1uvY7ihizW95	172.16.0.1	52192	192.168.10.50	21	tcp	ftp	9.200408	111	188	SF	T	T	0	ShAdDafFr	11	691	17	1056	-
1499170801.712088	C8eeDW1gwTIY7TNIPd	172.16.0.1	52196	192.168.10.50	21	tcp	ftp	9.188973	113	188	SF	T	T	0	ShAdDafFr	11	693	17	1056	-
1499170803.486468	CNtFDu4kHbJibmQbp2	172.16.0.1	52200	192.168.10.50	21	tcp	ftp	8.690802	115	188	SF	T	T	0	ShAdDafFr	11	695	17	1056	-
1499170803.486706	CJITEOm2Fj2uXSAnl	172.16.0.1	52202	192.168.10.50	21	tcp	ftp	8.702461	113	188	SF	T	T	0	ShAdDafrF	11	693	17	1056	-
1499170803.485990	C0Jg6kPZnr39xqdUa	172.16.0.1	52198	192.168.10.50	21	tcp	ftp	8.711238	108	188	SF	T	T	14	ShAdDaGfrF	11	688	17	1056	-
1499170803.493364	C3g91P1sonPVwnArq2	172.16.0.1	52204	192.168.10.50	21	tcp	ftp	8.714203	116	188	SF	T	T	0	ShAdDafrF	11	696	17	1056	-
1499170803.512392	Cp8v2R3b1cmQGcu0za	172.16.0.1	52210	192.168.10.50	21	tcp	ftp	9.287189	119	188	SF	T	T	0	ShAdDafFr	11	699	17	1056	-
1499170803.496319	CYME3G3azJdrVEtK01	172.16.0.1	52206	192.168.10.50	21	tcp	ftp	9.310887	117	188	SF	T	T	0	ShAdDafrF	11	697	17	1056	-
1499170803.501163	C5YTRV3IIuRqjMBDmj	172.16.0.1	52208	192.168.10.50	21	tcp	ftp	9.307974	113	188	SF	T	T	0	ShAdDafrF	11	693	17	1056	-
1499170810.994118	CgLsse2tNWTUFk5Ipd	172.16.0.1	52214	192.168.10.50	21	tcp	ftp	8.438092	121	188	SF	T	T	0	ShAdDafFr	11	701	17	1056	-
1499170811.001327	CCWei41B4DRC8rLO02	172.16.0.1	52216	192.168.10.50	21	tcp	ftp	8.439695	121	188	SF	T	T	0	ShAdDafFr	11	701	17	1056	-
1499170810.992507	Ci5US01tvOmMrEDIr4	172.16.0.1	52212	192.168.10.50	21	tcp	ftp	8.459692	116	188	SF	T	T	0	ShAdDafrF	11	696	17	1056	-
1499170812.277735	CVhu191LBGxulMaW8	172.16.0.1	52218	192.168.10.50	21	tcp	ftp	9.077911	116	188	SF	T	T	0	ShAdDafrF	11	696	17	1056	-
1499170812.289450	C9HsmC2ND2p7r9Zf13	172.16.0.1	52220	192.168.10.50	21	tcp	ftp	9.066235	117	188	SF	T	T	0	ShAdDafFr	11	697	17	1056	-
1499170812.297337	CjDS7D4DPnwZllWst8	172.16.0.1	52222	192.168.10.50	21	tcp	ftp	9.058646	117	188	SF	T	T	0	ShAdDafFr	11	697	17	1056	-
1499170812.307746	CeMMXa23sJnQsttEma	172.16.0.1	52224	192.168.10.50	21	tcp	ftp	9.262149	120	188	SF	T	T	0	ShAdDafrF	11	700	17	1056	-
1499170812.899840	Cv8yFd3v4OD8fMoqEc	172.16.0.1	52226	192.168.10.50	21	tcp	ftp	9.537653	117	188	SF	T	T	0	ShAdDafFr	11	697	17	1056	-
1499170812.907335	CSI8hAUelkGjadYBb	172.16.0.1	52228	192.168.10.50	21	tcp	ftp	9.535922	122	188	SF	T	T	0	ShAdDafrF	11	702	17	1056	-
1499170812.909363	C71Xsz1m6puoGwbnI7	172.16.0.1	52230	192.168.10.50	21	tcp	ftp	9.539879	118	188	SF	T	T	0	ShAdDafFr	11	698	17	1056	-
1499170826.385084	CLBsXj1qsJPIWLjy03	192.168.10.16	55902	192.168.10.50	21	tcp	ftp	0.126912	88	219	SF	T	T	0	ShAdtDTafF	22	1336	28	1910	-
1499170819.541307	CVMoUf1HaO9WFJvBZ2	172.16.0.1	52234	192.168.10.50	21	tcp	ftp	8.944597	118	188	SF	T	T	0	ShAdDafFr	11	698	17	1056	-
1499170819.532427	CiB9n64qs4EHAktei	172.16.0.1	52232	192.168.10.50	21	tcp	ftp	8.954260	120	188	SF	T	T	0	ShAdDafrF	11	700	17	1056	-
1499170819.552416	CYpqv32gUQ8GwUPlk8	172.16.0.1	52236	192.168.10.50	21	tcp	ftp	9.094133	118	188	SF	T	T	0	ShAdDafrF	11	698	17	1056	-
1499170821.456590	CTsDoVAN3KAq3DxYg	172.16.0.1	52242	192.168.10.50	21	tcp	ftp	8.200805	120	188	SF	T	T	0	ShAdDafrF	11	700	17	1056	-
1499170821.456112	C1uGDG24an19GV79ck	172.16.0.1	52240	192.168.10.50	21	tcp	ftp	8.203780	117	188	SF	T	T	0	ShAdDafrF	11	697	17	1056	-
1499170821.455898	CMYIwbiB9W4xgICbe	172.16.0.1	52238	192.168.10.50	21	tcp	ftp	8.205258	118	188	SF	T	T	0	ShAdDafFr	11	698	17	1056	-
1499170821.670077	C4Cbhh3EnWctv1Vdke	172.16.0.1	52244	192.168.10.50	21	tcp	ftp	8.826324	115	188	SF	T	T	0	ShAdDafrF	11	695	17	1056	-
1499170822.537624	CR50A43Mt1LBhO2e96	172.16.0.1	52246	192.168.10.50	21	tcp	ftp	8.526062	120	188	SF	T	T	0	ShAdDafFr	11	700	17	1056	-
1499170822.543600	CzdqLL32Yq0bUR9uE8	172.16.0.1	52248	192.168.10.50	21	tcp	ftp	8.533523	120	188	SF	T	T	0	ShAdDafrF	11	700	17	1056	-
1499170822.549376	CJCQkh2kvc2Ln5R2y8	172.16.0.1	52250	192.168.10.50	21	tcp	ftp	8.531794	118	188	SF	T	T	14	ShAdaGDfFr	11	698	17	1056	-
1499170828.586393	CbOoNK2GF0arpysqzk	172.16.0.1	52252	192.168.10.50	21	tcp	ftp	9.036012	123	188	SF	T	T	14	ShAdDaGfFr	11	703	17	1056	-
1499170828.586935	CSBxshLKeRV6mdiSa	172.16.0.1	52254	192.168.10.50	21	tcp	ftp	9.035820	133	188	SF	T	T	14	ShAdaGDfrF	11	713	17	1056	-
1499170828.746896	CJNJ961hxajAt0JWg8	172.16.0.1	52256	192.168.10.50	21	tcp	ftp	8.990092	120	188	SF	T	T	0	^hSAdDafFr	11	700	17	1056	-
1499170829.761399	CMeKYo4wTktCmB5764	172.16.0.1	52262	192.168.10.50	21	tcp	ftp	8.415219	125	188	SF	T	T	0	ShAdDafrF	11	705	17	1056	-
1499170829.759812	Cn1Ncb4dMPtQQib0R7	172.16.0.1	52260	192.168.10.50	21	tcp	ftp	8.417544	129	188	SF	T	T	0	ShAdDafrF	11	709	17	1056	-
1499170829.757690	CONhNf4634OnPqvEN9	172.16.0.1	52258	192.168.10.50	21	tcp	ftp	8.428148	142	188	SF	T	T	0	ShAdDafFr	11	722	17	1056	-
1499170830.596582	CzmMI87gcoGR6vom	172.16.0.1	52264	192.168.10.50	21	tcp	ftp	7.997089	127	188	SF	T	T	0	ShAdDafrF	11	707	17	1056	-
1499170831.163953	C2pXTg3P7J2ymXGRMk	172.16.0.1	52266	192.168.10.50	21	tcp	ftp	8.899920	127	188	SF	T	T	0	ShAdDafFr	11	707	17	1056	-
1499170831.177366	CNJEDc2AAYO36fpQ8g	172.16.0.1	52268	192.168.10.50	21	tcp	ftp	8.886742	126	188	SF	T	T	0	ShAdDafrF	11	706	17	1056	-
1499170831.181389	CKI7nS3pUqSLh4sqv3	172.16.0.1	52270	192.168.10.50	21	tcp	ftp	9.086685	124	188	SF	T	T	0	ShAdDafrF	11	704	17	1056	-
1499170837.722715	ClfygF1hbUmy7Hty13	172.16.0.1	52274	192.168.10.50	21	tcp	ftp	8.697909	117	188	SF	T	T	14	ShAdDaGfrF	11	697	17	1056	-
1499170837.722709	CIMhznzslTQ3nDs76	172.16.0.1	52272	192.168.10.50	21	tcp	ftp	8.702323	122	188	SF	T	T	0	ShAdDafFr	11	702	17	1056	-
1499170837.837382	CvlZTK2iDwBMAnWgWf	172.16.0.1	52276	192.168.10.50	21	tcp	ftp	8.754330	125	188	SF	T	T	0	ShAdDafrF	11	705	17	1056	-
1499170838.277639	ClfFLC2uqpLbdj7pd1	172.16.0.1	52280	192.168.10.50	21	tcp	ftp	9.451523	115	188	SF	T	T	0	ShAdDafFr	11	695	17	1056	-
1499170838.277004	CZaUwa23nrnu2bwZd1	172.16.0.1	52278	192.168.10.50	21	tcp	ftp	9.464074	116	188	SF	T	T	0	ShAdDafFr	11	696	17	1056	-
1499170838.286010	CLnPHP3M5kAiVS5IIj	172.16.0.1	52282	192.168.10.50	21	tcp	ftp	9.458255	113	188	SF	T	T	0	ShAdDafrF	11	693	17	1056	-
1499170838.693972	CIooH54dPclQv6czLc	172.16.0.1	52284	192.168.10.50	21	tcp	ftp	9.382819	118	188	SF	T	T	0	ShAdDafrF	11	698	17	1056	-
1499170840.164263	CDNLf748UDoIFaKnHc	172.16.0.1	52288	192.168.10.50	21	tcp	ftp	8.376022	118	188	SF	T	T	14	ShAdDaGfFr	11	698	17	1056	-
1499170840.164194	CrGxoY3q2x8k9nQWnb	172.16.0.1	52286	192.168.10.50	21	tcp	ftp	8.388957	122	188	SF	T	T	0	ShAdDafrF	11	702	17	1056	-
1499170840.368534	CFJSLt3PenBBYk6cG8	172.16.0.1	52290	192.168.10.50	21	tcp	ftp	8.323698	135	188	SF	T	T	0	ShAdDafrF	11	715	17	1056	-
