ts	id.orig_h	id.resp_h	uri	method	trans_depth	user_agent
1499348435.385307	192.168.10.14	31.186.87.219	/log	POST	1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348430.848449	192.168.10.14	93.179.237.135	/v1/load.dtx?t=1499348426086&mt_pid=6011	GET	1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348437.184865	192.168.10.14	13.107.4.50	/c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe	GET	3	Microsoft BITS/7.8
1499348432.783104	192.168.10.14	91.185.184.7	/getCookie/?cookie=null&p=adexon&domain=http://www.wiocha.pl&v=3.0	GET	1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348439.233002	192.168.10.14	13.107.4.50	/c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe	GET	4	Microsoft BITS/7.8
1499348440.257809	192.168.10.14	13.107.4.50	/c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe	GET	5	Microsoft BITS/7.8
1499348441.282089	192.168.10.14	13.107.4.50	/c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe	GET	6	Microsoft BITS/7.8
1499348442.306074	192.168.10.14	13.107.4.50	/c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe	GET	7	Microsoft BITS/7.8
1499348443.330020	192.168.10.14	13.107.4.50	/c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe	GET	8	Microsoft BITS/7.8
1499348433.465558	172.16.0.1	192.168.10.50	/dv/vulnerabilities/sqli/?id=1'+and+1=1+union+select+null,+table_name+from+information_schema.tables#&Submit=Submit	GET	1	Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0
1499348444.355023	192.168.10.14	13.107.4.50	/c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe	GET	9	Microsoft BITS/7.8
